,Movie,Release Year,Certification,Duration,Genre,Imdb,Metascore,Votes
0,Zack Snyder's Justice League,(2021),R,242 min,"Action, Adventure, Fantasy",8.1,54,"306,097"
1,Aspirants,(2021– ),Not Available,45 min,Drama,9.0,Not Available,"271,832"
2,WandaVision,(2021),TV-PG,350 min,"Action, Comedy, Drama",8.1,Not Available,"185,388"
3,Radhe,(2021),TV-MA,135 min,"Action, Crime, Thriller",1.8,Not Available,"163,419"
4,Godzilla vs. Kong,(2021),PG-13,113 min,"Action, Sci-Fi, Thriller",6.4,59,"145,457"
5,Army of the Dead,(2021),R,148 min,"Action, Crime, Horror",5.8,57,"121,308"
6,The Falcon and the Winter Soldier,(2021),TV-14,50 min,"Action, Adventure, Drama",7.4,Not Available,"117,818"
7,Mortal Kombat,(2021),R,110 min,"Action, Adventure, Fantasy",6.2,44,"117,024"
8,Nobody,(I) (2021),R,92 min,"Action, Crime, Drama",7.4,64,"109,185"
9,Raya and the Last Dragon,(2021),PG,107 min,"Animation, Action, Adventure",7.4,75,"85,219"
10,Cruella,(2021),PG-13,134 min,"Comedy, Crime",7.4,59,"76,352"
11,Lupin,(2021– ),TV-MA,45 min,"Action, Crime, Drama",7.5,Not Available,"74,412"
12,Invincible,(2021– ),TV-MA,364 min,"Animation, Action, Adventure",8.8,Not Available,"68,711"
13,Wrath of Man,(2021),R,119 min,"Action, Crime, Thriller",7.2,57,"64,136"
14,The Little Things,(2021),R,128 min,"Crime, Drama, Thriller",6.3,54,"63,661"
15,The Mitchells vs the Machines,(2021),PG,113 min,"Animation, Adventure, Comedy",7.7,80,"61,844"
16,Mare of Easttown,(2021),TV-MA,410 min,"Crime, Drama, Mystery",8.5,Not Available,"61,717"
17,Master,(2021),Not Rated,179 min,"Action, Thriller",7.9,Not Available,"60,148"
18,Coming 2 America,(2021),PG-13,110 min,Comedy,5.3,52,"58,369"
19,The Dig,(2021),PG-13,112 min,"Biography, Drama, History",7.1,73,"57,956"
20,Tandav,(2021– ),TV-14,30 min,"Drama, Thriller",3.7,Not Available,"55,374"
21,Shadow and Bone,(2021– ),TV-14,Not Available,"Action, Adventure, Drama",7.8,Not Available,"55,191"
22, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.9,Not Available,"54,305"
23,The Conjuring: The Devil Made Me Do It,(2021),R,112 min,"Horror, Mystery, Thriller",6.4,53,"53,896"
24,Judas and the Black Messiah,(2021),R,126 min,"Biography, Drama, History",7.5,85,"51,649"
25,The Woman in the Window,(2021),R,100 min,"Crime, Drama, Mystery",5.7,41,"51,586"
26,The White Tiger,(2021),R,125 min,"Crime, Drama",7.1,76,"50,394"
27,Loki,(2021– ),TV-14,Not Available,"Action, Adventure, Fantasy",8.9,Not Available,"47,312"
28,The One Where They Get Back Together,(2021 TV Special),TV-14,104 min,"Comedy, Romance",8.1,Not Available,"45,521"
29,Behind Her Eyes,(2021),TV-MA,298 min,"Drama, Mystery, Thriller",7.2,Not Available,"45,289"
30,Tom Clancy's Without Remorse,(2021),R,109 min,"Action, Thriller, War",5.8,41,"42,191"
31, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.9,Not Available,"39,825"
32, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.9,Not Available,"38,142"
33,Outside the Wire,(2021),R,114 min,"Action, Adventure, Fantasy",5.4,45,"36,338"
34,Stowaway,(2021),TV-MA,116 min,"Drama, Sci-Fi, Thriller",5.6,63,"34,840"
35,Luca,(2021),PG,95 min,"Animation, Adventure, Comedy",7.6,71,"34,618"
36,Thunder Force,(2021),PG-13,106 min,"Action, Adventure, Comedy",4.4,34,"34,285"
37,Those Who Wish Me Dead,(2021),R,100 min,"Action, Drama, Thriller",6.0,59,"33,811"
38,Ginny & Georgia,(2021– ),TV-14,Not Available,"Comedy, Drama",7.5,Not Available,"33,549"
39,Boss Level,(2021),TV-MA,94 min,"Action, Mystery, Sci-Fi",6.9,56,"32,313"
40,The Serpent,(2021),TV-MA,458 min,"Crime, Drama, Thriller",7.7,Not Available,"31,181"
41,Jupiter's Legacy,(2021),TV-MA,56 min,"Action, Adventure, Drama",6.8,Not Available,"29,663"
42,Fate: The Winx Saga,(2021– ),TV-MA,Not Available,"Action, Adventure, Drama",6.9,Not Available,"29,577"
43,Malcolm & Marie,(2021),R,106 min,"Drama, Romance",6.7,53,"29,225"
44,The Mauritanian,(2021),R,129 min,"Drama, Thriller",7.4,53,"28,457"
45,Drishyam 2,(2021),Not Available,152 min,"Crime, Drama, Thriller",8.7,Not Available,"27,536"
46,Palmer,(2021),R,110 min,Drama,7.3,53,"25,754"
47,Sweet Tooth,(2021– ),TV-14,Not Available,"Action, Adventure, Drama",8.0,Not Available,"24,910"
48,Tom and Jerry,(2021),PG,101 min,"Animation, Comedy, Family",5.3,32,"24,884"
49,Oxygen,(2021),TV-14,100 min,"Drama, Fantasy, Sci-Fi",6.5,67,"24,743"
50,Chaos Walking,(2021),PG-13,109 min,"Action, Adventure, Fantasy",5.7,38,"24,187"
51,Spiral,(2021),R,93 min,"Crime, Horror, Mystery",5.3,40,"23,982"
52,Seaspiracy,(2021),TV-MA,89 min,"Documentary, Adventure",8.2,Not Available,"23,913"
53, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.6,Not Available,"23,728"
54,Racket Boys,(2021– ),Not Available,80 min,"Comedy, Drama, Sport",1.0,Not Available,"23,433"
55,Cherry,(2021),R,142 min,"Crime, Drama",6.6,44,"22,994"
56,Inside,(2021 TV Special),TV-MA,87 min,"Comedy, Drama, Music",8.8,Not Available,"22,288"
57,Things Heard & Seen,(2021),TV-MA,121 min,"Drama, Horror, Mystery",5.3,49,"22,202"
58,Resident Alien,(2021– ),TV-14,44 min,"Comedy, Drama, Mystery",8.2,Not Available,"21,638"
59,It's a Sin,(2021),TV-MA,239 min,"Comedy, Drama, History",8.7,Not Available,"21,634"
60,Redemption Day,(2021),R,99 min,"Action, Drama, Thriller",6.5,22,"21,398"
61, WandaVision,(2021),TV-PG,30 min,"Action, Comedy, Drama",7.5,Not Available,"21,392"
62,Anne Boleyn,(2021– ),Not Available,Not Available,Drama,6.9,Not Available,"21,231"
63, WandaVision,(2021),TV-PG,35 min,"Action, Comedy, Drama",8.9,Not Available,"20,331"
64, WandaVision,(2021),TV-PG,37 min,"Action, Comedy, Drama",7.8,Not Available,"20,240"
65,In the Heights,(2021),PG-13,143 min,"Drama, Music, Musical",7.6,84,"20,044"
66, WandaVision,(2021),TV-14,42 min,"Action, Comedy, Drama",9.1,Not Available,"19,973"
67,Space Sweepers,(2021),TV-MA,136 min,"Action, Adventure, Drama",6.6,64,"19,697"
68,Moxie,(2021),PG-13,111 min,"Comedy, Drama, Music",6.7,54,"19,542"
69,Night Stalker: The Hunt for a Serial Killer,(2021),TV-MA,189 min,"Documentary, Crime, Mystery",7.5,Not Available,"19,330"
70,Bad Trip,(2021),R,86 min,Comedy,6.6,61,"19,003"
71, WandaVision,(2021),TV-PG,33 min,"Action, Comedy, Drama",8.2,Not Available,"18,655"
72,To All the Boys: Always and Forever,(2021),TV-14,109 min,"Comedy, Drama, Romance",6.3,65,"18,057"
73,Yes Day,(2021),PG,86 min,"Comedy, Family",5.7,46,"18,051"
74, WandaVision,(2021),TV-PG,47 min,"Action, Comedy, Drama",9.0,Not Available,"17,876"
75, Loki,(2021– ),TV-14,51 min,"Action, Adventure, Fantasy",8.8,Not Available,"17,806"
76, WandaVision,(2021),TV-PG,50 min,"Action, Comedy, Drama",8.4,Not Available,"17,759"
77,The Innocent,(2021),TV-MA,467 min,"Crime, Drama, Mystery",7.9,Not Available,"17,497"
78,F9: The Fast Saga,(2021),PG-13,145 min,"Action, Adventure, Crime",5.5,59,"17,381"
79,Wrong Turn,(2021),R,109 min,"Horror, Thriller",5.5,46,"17,378"
80, WandaVision,(2021),TV-PG,38 min,"Action, Comedy, Drama",8.9,Not Available,"17,361"
81, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.3,Not Available,"16,783"
82, WandaVision,(2021),TV-PG,38 min,"Action, Comedy, Drama",8.5,Not Available,"16,207"
83,Firefly Lane,(2021– ),TV-MA,Not Available,"Drama, Romance",7.5,Not Available,"15,981"
84,Below Zero,(2021),TV-MA,106 min,"Action, Adventure, Crime",6.2,Not Available,"15,504"
85,Karnan,(2021),Not Available,158 min,"Action, Drama",8.3,Not Available,"15,347"
86, The Falcon and the Winter Soldier,(2021),TV-14,47 min,"Action, Adventure, Drama",7.7,Not Available,"15,107"
87,The Marksman,(2021),PG-13,108 min,"Action, Drama, Thriller",5.6,44,"15,065"
88,Superman and Lois,(2021– ),TV-14,42 min,"Action, Adventure, Drama",7.9,Not Available,"14,976"
89,Willy's Wonderland,(2021),TV-MA,88 min,"Action, Comedy, Horror",5.6,44,"14,700"
90,Crime Scene: The Vanishing at the Cecil Hotel,(2021),TV-MA,219 min,"Documentary, Crime, Mystery",5.9,Not Available,"14,668"
91,The Map of Tiny Perfect Things,(2021),PG-13,98 min,"Comedy, Fantasy, Romance",6.8,61,"14,431"
92,The Nevers,(2021– ),TV-MA,58 min,"Action, Drama, Fantasy",7.4,Not Available,"14,204"
93,Infinite,(2021),PG-13,106 min,"Action, Sci-Fi, Thriller",5.3,28,"14,163"
94, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.7,Not Available,"13,942"
95, Loki,(2021– ),TV-14,53 min,"Action, Adventure, Fantasy",9.0,Not Available,"13,792"
96, The Falcon and the Winter Soldier,(2021),TV-14,53 min,"Action, Adventure, Drama",8.8,Not Available,"13,654"
97,Bliss,(I) (2021),R,103 min,"Drama, Romance, Sci-Fi",5.3,40,"13,604"
98,Them,(2021– ),TV-MA,45 min,"Drama, Horror, Thriller",7.3,Not Available,"13,357"
99, The Falcon and the Winter Soldier,(2021),TV-14,47 min,"Action, Adventure, Drama",7.9,Not Available,"13,049"
100, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",8.9,Not Available,"12,975"
101,Awake,(III) (2021),TV-MA,96 min,"Action, Adventure, Drama",4.8,35,"12,916"
102, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.8,Not Available,"12,912"
103,Fatherhood,(2021),PG-13,109 min,"Comedy, Drama",6.7,53,"12,738"
104,The Irregulars,(2021),TV-14,Not Available,"Crime, Drama, Fantasy",5.9,Not Available,"12,190"
105, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.7,Not Available,"12,159"
106, The Falcon and the Winter Soldier,(2021),TV-14,51 min,"Action, Adventure, Drama",8.0,Not Available,"12,060"
107, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.1,Not Available,"11,984"
108,The Big Bull,(2021),Not Available,153 min,"Biography, Crime, Drama",6.1,Not Available,"11,612"
109,Dota: Dragon's Blood,(2021– ),TV-MA,25 min,"Animation, Action, Adventure",8.1,Not Available,"11,439"
110, Attack on Titan,(2013–2021),TV-MA,24 min,"Animation, Action, Adventure",9.2,Not Available,"11,415"
